Codelist Name	CDISC Submission Value	CDISC Synonym(s)
Neoplasm Type	"HEMANGIOPERICYTOMA, MALIGNANT"	HEMANGIOPERICYTOMA
Neoplasm Type	"HEMANGIOSARCOMA, MALIGNANT"	"HEMANGIOSARCOMA; I-HEMANGIOSARCOMA, LOCALLY INVASIVE; M-HEMANGIOSARCOMA; N-HEMANGIOSARCOMA, METASTATIC"
Neoplasm Type	"HIBERNOMA, MALIGNANT"	"M-HIBERNOMA, MALIGNANT"
Neoplasm Type	"HISTIOCYTOMA, BENIGN"	B-HISTIOCYTOMA
Neoplasm Type	"HISTIOCYTOMA, FIBROUS, BENIGN"	FIBROHISTIOCYTIC
Neoplasm Type	"KERATOACANTHOMA, BENIGN"	B-KERATOACANTHOMA; KERATOACANTHOMA
Neoplasm Type	"LEIOMYOMA, BENIGN"	B-LEIOMYOMA; LEIOMYOMA
Neoplasm Type	"LEIOMYOSARCOMA, MALIGNANT"	M-LEIOMYOSARCOMA
Neoplasm Type	"LEUKEMIA, GRANULOCYTIC, MALIGNANT"	"F-LEUKEMIA, GRANULOCYTIC; M-LEUKEMIA, GRANULOCYTIC"
Neoplasm Type	"LEUKEMIA, MALIGNANT"	LEUKEMIA
Neoplasm Type	"LEYDIG CELL TUMOR, BENIGN"	B-INTERSTITIAL CELL TUMOR
Neoplasm Type	"LIPOMA, BENIGN"	B-LIPOMA
Neoplasm Type	"LIPOSARCOMA, MALIGNANT"	M-LIPOSARCOMA
Neoplasm Type	"LYMPHANGIOMA, BENIGN"	B-LYMPHANGIOMA
Neoplasm Type	"LYMPHOMA, MALIGNANT"	F-MALIGNANT LYMPHOMA; LYMPHOMA; M-MALIGNANT LYMPHOMA
Neoplasm Type	"LYMPHOSARCOMA, MALIGNANT"	M-LYMPHOSARCOMA
Neoplasm Type	"MEDULLOBLASTOMA, MALIGNANT"	MEDULLOBLASTOMA
Neoplasm Type	"MELANOMA, AMELANOTIC, MALIGNANT"	AMELANOTIC MELANOMA
Neoplasm Type	"MESOTHELIOMA, MALIGNANT"	"I-MALIGNANT MESOTHELIOMA, LOCALLY INVASIVE; MESOTHELIOMA; M-MALIGNANT MESOTHELIOMA; N-MALIGNANT MESOTHELIOMA, METASTATIC"
Neoplasm Type	"NEOPLASM, MALIGNANT"	"C-HEMATOPOIETIC NEOPLASM, SEE BODY, WHOLE FOR TYPE"
Neoplasm Type	"NEPHROBLASTOMA, MALIGNANT"	NEPHROBLASTOMA
Neoplasm Type	"NEUROFIBROMA, BENIGN"	NEUROFIBROMA
Neoplasm Type	"ODONTOMA, BENIGN"	ODONTOMA
Neoplasm Type	"OSTEOMA, BENIGN"	OSTEOMA
Neoplasm Type	"OSTEOSARCOMA, MALIGNANT"	M-OSTEOSARCOMA; OSTEOSARCOMA
Neoplasm Type	"PAPILLOMA, BENIGN"	PAPILLOMA
Neoplasm Type	"PAPILLOMA, SQUAMOUS CELL, BENIGN"	"B-PAPILLOMA, SQUAMOUS CELL"
Neoplasm Type	"PAPILLOMA, TRANSITIONAL CELL, BENIGN"	"B-PAPILLOMA, TRANSITIONAL CELL"
Neoplasm Type	"PHEOCHROMOCYTOMA, BENIGN"	B-PHEOCHROMOCYTOMA
Neoplasm Type	"PHEOCHROMOCYTOMA, COMPLEX, BENIGN"	B-COMPLEX PHEOCHROMOCYTOMA
Neoplasm Type	"PHEOCHROMOCYTOMA, COMPLEX, MALIGNANT"	M-COMPLEX MALIGNANT PHEOCHROMOCYTOMA
Neoplasm Type	"PHEOCHROMOCYTOMA, MALIGNANT"	"I-MALIGNANT PHEOCHROMOCYTOMA, LOCALLY INVASIVE; M-MALIGNANT PHEOCHROMOCYTOMA; PHEOCHROMOCYTOMA - MALIGNANT"
Neoplasm Type	"PLASMA CELL TUMOR, MALIGNANT"	M-PLASMACYTOMA
Neoplasm Type	"PLASMA CELL TUMOR, UNSPECIFIED"	F-PLASMACYTOMA
Neoplasm Type	"POLYP, BENIGN"	POLYP(S)
Neoplasm Type	"POLYP, ENDOMETRIAL STROMAL, BENIGN"	"B-POLYP, ENDOMETRIAL STROMAL; ENDOMETRIAL STROMAL POLYP"
Neoplasm Type	"RENAL MESENCHYMAL TUMOR, MALIGNANT"	M-MALIGNANT RENAL MESENCHYMAL TUMOR
Neoplasm Type	"RHABDOMYOSARCOMA, MALIGNANT"	RHABDOMYOSARCOMA
Neoplasm Type	"SARCOMA, HISTIOCYTIC, MALIGNANT"	F-HISTIOCYTIC SARCOMA; HISTIOCYTIC SARCOMA; M-HISTIOCYTIC SARCOMA
Neoplasm Type	"SARCOMA, MALIGNANT"	"I-SARCOMA, LOCALLY INVASIVE; I-SARCOMA, STROMAL, CERVIX, LOCALLY INVASIVE; M-SARCOMA; M-SARCOMA, STROMAL; N-SARCOMA, METASTATIC; SARCOMA"
Neoplasm Type	"SCHWANNOMA, BENIGN"	B-SCHWANNOMA
Neoplasm Type	"SCHWANNOMA, MALIGNANT"	M-MALIGNANT SCHWANNOMA; SCHWANNOMA
Neoplasm Type	"SEMINOMA, UNSPECIFIED"	SEMINOMA
Neoplasm Type	"STROMAL SARCOMA, ENDOMETRIAL, MALIGNANT"	ENDOMETRIAL STROMAL SARCOMA
Neoplasm Type	"STROMAL TUMOR, BENIGN"	"OVARIAN SEX CORD-STROMAL TUMOR, BENIGN"
Neoplasm Type	"THYMOMA, BENIGN"	B-THYMOMA
Neoplasm Type	"TUMOR, MIXED, BENIGN"	CHORISTOMA
Non-Neoplastic Finding Type	"ABNORMALITY, ESTROUS_MENSTRUAL CYCLE"	ALTERED CYCLICITY; CYCLICITY ALTERED; IMPAIRED OVULATION; QUIESCENT
Non-Neoplastic Finding Type	ACCESSORY TISSUE	ACCESSORY ADRENAL TISSUE; ACCESSORY CORTICAL TISSUE; ACCESSORY STRUCTURE
Non-Neoplastic Finding Type	ACCUMULATION	"ACCUMULATION OF EOSINOPHILIC GRANULAR MATERIALS; ACCUMULATION, ADIPOCYTES; ACCUMULATION, DROPLETS, EOSINOPHILIC; ANTHRACOSIS; DEPOSITION; DROPLETS, CYTOPLASMIC, GLAND; EOSINOPHILIC CYTOPLASMIC DROPLETS; EOSINOPHILIC DROPLET, TUBULE CELL; EOSINOPHILIC MATERIAL (PROTEIN), ALVEOLUS; FLUID ACCUMULATION, PERIVASCULAR; HEMOSIDERIN, MUCOSAL MACROPHAGES; HEMOSIDEROSIS; HYALINE GLOBULES, INTRACYTOPLASMIC; HYALINE MATERIAL; HYALINIZATION, GERMINAL CENTERS, WHITE PULP; HYALINOSIS; HYALINOSIS, FOLLICLE; PROTEIN; PROTEIN DROPLETS; PROTEIN, ALVEOLI; PROTEIN, INTRATUBULAR; PROTEIN, TUBULAR; PROTEIN, TUBULES; PROTEINACEOUS FLUID; PROTEINACEOUS MATERIAL; PROTEINACEOUS MATERIAL, INTERSTITIUM; PROTEINACEOUS MATERIAL, LUMEN; RENAUT BODY; SIDEROSIS; STASIS; TUBULAR PROTEINOSIS"
Non-Neoplastic Finding Type	ADHESION	"ADHESION(S); SYNECHIA; SYNECHIA, POSTERIOR"
Non-Neoplastic Finding Type	ADRENOHEPATIC FUSION	FUSED WITH LIVER
Non-Neoplastic Finding Type	AGE-RELATED ATROPHY	"ATROPHY, AGE-RELATED"
Non-Neoplastic Finding Type	ALPHA 2U-GLOBULIN NEPHROPATHY	"HYALINE DROPLET; HYALINE DROPLET(S); HYALINE DROPLET, TUBULE CELL; HYALINE GRANULES; HYALINE MATERIAL, GLOMERULUS"
Non-Neoplastic Finding Type	"ALTERATION, CYTOLOGIC"	"CELLULAR ALTERATION; DISORGANIZATION, SPERMATOZOA; PLEOMORPHISM; PLEOMORPHISM/DYSPLASIA; PYKNOSIS; SQUAMOUS CHANGE; VARIABLE ACINAR SIZE; SPERM, DECREASED CELL DEBRIS; RESIDUAL BODIES, INCREASED"
Non-Neoplastic Finding Type	"ALTERATION, HISTOLOGIC"	"ALTERATION, UTERUS; C-CELL COMPLEX; CHANGES NOTED, COMPOUND-RELATED; COLLAGEN NODULE,  SUBCUTIS; COMPLEX FOLDING; DISCOLORED; GLOMERULAR LIPIDOSIS; HARDERIAN GLAND ALTERATION; LYMPHOID ALTERATION; MYXEDEMA; MYXOMATOUS CHANGE; MYXOMATOUS CHANGE, CHORDAE TENDONAE; MYXOMATOUS CHANGE, PERIVASCULAR; MYXOMATOUS CHANGE, VALVE; MYXOMATOUS CHANGE, VALVULAR; NEVUS, COLLAGEN; NODULE, FIBROMYXOMATOUS; PALLOR; SCALLOPED REVERSAL LINES"
Non-Neoplastic Finding Type	AMYLOID	"AMYLOID, FOLLICULAR; AMYLOIDOSIS; AMYLOIDOSIS, VASCULAR; PLAQUE"
Non-Neoplastic Finding Type	ANGIECTASIS	"ANGIECTASIA, ISLET; ANGIECTASIA, ISLET, FOCAL; ANGIECTASIS / CONGESTION; ANGIECTASIS, ATRIOVENTRICULAR VALVE; ANGIECTASIS, ATRIUM; ANGIECTASIS, ISLET; ANGIECTASIS/CYSTIC DEGENERATION, FOCAL CORTICAL"
Non-Neoplastic Finding Type	ANOMALY	"ANOMALY, CONGENITAL; ANOMALY, DEVELOPMENTAL; ANOMALY, RETINAL; ANOMALY, VASCULAR; ATYPIA; DEVELOPMENTAL ANOMALY; EMBRYONAL REST; NEPHROGENIC REST; REST, ADRENAL; VASCULAR ANOMALY"
Non-Neoplastic Finding Type	APOPTOSIS	"APOPTOSIS INCREASED; APOPTOSIS, ACINAR CELL, INCREASED; APOPTOSIS, ACINAR CELLS, INCREASED; APOPTOSIS, INCREASED; INCREASED, APOPTOTIC CELLS; INCREASED, APOPTOTIC CELLS, CERVIX"
Non-Neoplastic Finding Type	APOPTOSIS/SINGLE CELL NECROSIS	"APOPTOSIS/CELL DEATH, ACINAR CELLS, INCREASED; APOPTOSIS/INDIVIDUAL CELL NECROSIS; APOPTOSIS/INDIVIDUAL CELL NECROSIS, LYMPHOCYTES, INCREASED; INCREASED APOPTOSIS/SINGLE CELL NECROSIS, ZONA RETICULARIS; NECROSIS/APOPTOSIS, INDIVIDUAL HEPATOCYTE; APOPTOSIS/NECROSIS"
Non-Neoplastic Finding Type	ARTERIOSCLEROSIS	ATHEROSCLEROSIS
Non-Neoplastic Finding Type	ARTIFACT	BARBITURATE LYSIS
Non-Neoplastic Finding Type	"ATRETIC FOLLICLES, INCREASED"	"ATRESIA; ATRESIA, FOLLICLE; ATRESIA/NECROSIS, FOLLICLE, INCREASED; INCREASED FOLLICULAR ATRESIA"
Non-Neoplastic Finding Type	ATROPHY	"ATROPHY (DECREASED BASOPHILIC CORPUS LUTEUM); ATROPHY AND MUCIFICATION; ATROPHY, ACINAR; ATROPHY, ACINAR CELL; ATROPHY, ACINAR CELL, PERI-INSULAR; ATROPHY, ACINAR CELLS; ATROPHY, ACINAR CELLS, LOBULAR; ATROPHY, ACINAR, DIFFUSE; ATROPHY, ACINAR, FOCAL; ATROPHY, ACINI; ATROPHY, ACINI/DUCTS, DIFFUSE; ATROPHY, ADIPOCYTE; ATROPHY, ADIPOCYTES; ATROPHY, ADIPOCYTES, SUBCUTIS; ATROPHY, ADIPOSE; ATROPHY, ADIPOSE TISSUE; ATROPHY, ADIPOSE TISSUE, BASE; ATROPHY, ADIPOSE TISSUE, EPICARDIUM; ATROPHY, ADIPOSE TISSUE, HILUS; ATROPHY, ADNEXA; ATROPHY, ASYMMETRIC; ATROPHY, ASYMMETRIC; ATROPHY, CELLULAR, ZONA RETICULARIS; ATROPHY, CERVIX; ATROPHY, DIFFUSE; ATROPHY, DUCTS; ATROPHY, EPIDERMIS; ATROPHY, EPITHELIAL; ATROPHY, EPITHELIUM; ATROPHY, ERYTHROID; ATROPHY, EXOCRINE CELLS; ATROPHY, FOCAL; ATROPHY, FOLLICLE; ATROPHY, FOLLICLE AND LOSS OF HAIR SHAFT; ATROPHY, FOLLICLES/ADNEXA; ATROPHY, FOLLICULAR; ATROPHY, FOLLICULAR CELL; ATROPHY, HEPATOCELLULAR, LOBULAR; ATROPHY, HEPATOCYTES; ATROPHY, ISLET CELLS; ATROPHY, LOBULAR; ATROPHY, LOBULAR, DIFFUSE; ATROPHY, LOBULAR, EXOCRINE; ATROPHY, LOBULAR, FOCAL/MULTIFOCAL; ATROPHY, LOBULE; ATROPHY, LYMPHOID; ATROPHY, MANDIBULAR GLAND; ATROPHY, MUCOSA; ATROPHY, MYOFIBER; ATROPHY, OPTIC TRACT/LATERAL GENICULATE NUCLEUS; ATROPHY, RETINA; ATROPHY, RETINA, DIFFUSE, BILATERAL; ATROPHY, RETINA, DIFFUSE, UNILATERAL; ATROPHY, SEBACEOUS GLAND; ATROPHY, SEMINIFEROUS EPITHELIUM; ATROPHY, SEMINIFEROUS EPITHELIUM, SEGMENTAL; ATROPHY, SEMINIFEROUS TUBULE; ATROPHY, TUBULAR; ATROPHY, TUBULE; ATROPHY, TUNICA MUSCULARIS, FOCAL; ATROPHY, UTERUS; ATROPHY, VILLI; ATROPHY, VILLOUS; ATROPHY, VILLUS; ATROPHY, ZONA FASCICULATA; ATROPHY,FOLLICULAR; ATROPHY/BLUNTING, VILLI; ATROPHY/DECREASED SECRETION; ATROPHY/INFILTRATE, PIGMENTED MACROPHAGES; ATROPHY/INVOLUTION; ATROPHY/MUCIFICATION; ATROPHY/MUCIFICATION OF VAGINA; ATROPHY/MUCIFICATION, EPITHELIUM; ATROPHY-EPITHELIUM; BLUNTING, VILLI; BLUNTING/FUSION, VILLI; BLUNTING/FUSION, VILLUS; DECREASED CELL SIZE; DECREASED CELL SIZE, INCREASED BASOPHILIA, PERIPORTAL HEPATOCYTES; DECREASED SIZE, GLANDS; DECREASED SIZE, LOBULES; DEPLETION/ATROPHY, LYMPHOCYTES; FUSION; FUSION, VILLI; FUSION, VILLUS; HEMATOPOIETIC ATROPHY/DEPLETION, WITH INCREASED ADIPOSE TISSUE; MYOCYTE, ATROPHY/REGENERATION; SMOOTH MUSCLE ATROPHY/REGENERATION; VILLOUS ATROPHY"
Non-Neoplastic Finding Type	ATROPHY_HYPOPLASIA	"ATROPHY/HYPOPLASIA, SEGMENTAL, SEMINIFEROUS TUBULES; HYPOPLASIA/ATROPHY; SMALL"
Non-Neoplastic Finding Type	"ATTENUATION, ENDOTHELIUM"	"ATTENUATION; ATTENUATION, EPITHELIAL CELLS WITH MUCOSAL FLATTENING; ATTENUATION, EPITHELIUM; ATTENUATION, EPITHELIUM WITH FLATTENED MUCOSAL RIDGES; EPITHELIUM,  ATTENUATION, SURFACE/ CRYPTS; EPITHELIUM,  ATTENUATION, SURFACE/ GLANDS; EPITHELIUM, ATTENUATION, SURFACE/ CRYPTS"
Non-Neoplastic Finding Type	"AUTOFLUORESCENT_FLUORESCENT MATERIALS, EVALUATED"	EPIFLUORESCENCE EXAMINED; EPIFLUORESCENT EVALUATION; EPIFLUORESCENT EVALUATION CONDUCTED; EVALUATED FOR AUTOFLUORESCENCE; EXAMINED BY EPIFLUORESCENCE; EXAMINED BY EPIFLUORESCENT ILLUMINATION; EXAMINED UNDER EPIFLUORESCENT ILLUMINATION
Non-Neoplastic Finding Type	"AUTOFLUORESCENT_FLUORESCENT MATERIALS, INCREASED"	"AUTOFLUORESCENT GLOBULES; AUTOFLUORESCENT GRANULAR  MATERIAL, GANGLION CELLS; AUTOFLUORESCENT GRANULAR  MATERIAL, RPE; AUTOFLUORESCENT GRANULAR MATERIAL, CHOROID PLEXUS; AUTOFLUORESCENT GRANULAR MATERIAL, RPE; AUTOFLUORESCENT GRANULES; AUTOFLUORESCENT GRANULES  INCREASED, ASTROCYTES, CEREBRUM; AUTOFLUORESCENT GRANULES INCREASED, ASTROCYTES; AUTOFLUORESCENT GRANULES INCREASED, RETINA PIGMENTED EPITHELIUM; AUTOFLUORESCENT GRANULES, INCREASED, GANGLION CELLS, RETINA; CYTOPLASMIC AUTOFLUORESCENT GRANULES; FLUORESCENT MATERIAL; INCREASED AUTOFLUORESCENCE, RETINAL PIGMENT EPITHELIUM; INCREASED AUTOFLUORESCENCE, RETINAL PIGMENT EPITHELIUM, TAPETAL; INCREASED AUTOFLUORESCENT GRANULES, APICAL, RETINAL EPITHELIUM; INCREASED AUTOFLUORESCENT GRANULES, CYTOPLASMICALLY DISPERSED, RETINAL EPITHELIUM/MACROPHAGES; INCREASED AUTOFLUORESCENT GRANULES, RPE; INCREASED CYTOPLASMIC AUTOFLUORESCENT MATERIAL; INCREASED CYTOPLASMIC FLUORESCENT GRANULES, RETINAL EPITHELIUM; INCREASED FLUORESCENCE"
Non-Neoplastic Finding Type	AUTOLYSIS	"AUTOLYTIC, NOT READABLE; AUTOLYTIC, READABLE; BOTH AUTOLYTIC, NOT READABLE; ONE OF THE PAIR IS AUTOLYTIC, NOT READABLE"
Non-Neoplastic Finding Type	BACTERIA	"BACTEREMIA; BACTERIA, INTRALESIONAL; BACTERIA, INTRAVASCULAR; BACTERIA, PELVIS; BACTERIA, PLEURA; BACTERIA, RED PULP; BACTERIA, STRATUM CORNEUM; BACTERIA, SUPERFICIAL EPITHELIUM; BACTERIAL COLONIES; BACTERIAL COLONIES, PRESENT; BACTERIAL MICROCOLONIES; BACTERIAL OVERGROWTH, LUMEN; BACTERIOSIS; COLONY, BACTERIA; COLONY, BACTERIAL"
Non-Neoplastic Finding Type	BASOPHILIA	"BASOPHILIA, CORONARY ARTERY; INCREASED BASOPHILIA, MUCOSAL; SMOOTH MUSCLE, CYTOPLASMIC BASOPHILIA"
Non-Neoplastic Finding Type	BASOPHILIC FOCUS	"ALTERATION, BASOPHILIC"
Non-Neoplastic Finding Type	BASOPHILIC TUBULE	"BASOPHILIA; BASOPHILIA, TUBULAR; BASOPHILIC GRANULES; BASOPHILIC TUBULE(S); BASOPHILIC TUBULE/ CELLULAR HYPERTROPHY; BASOPHILIC TUBULES"
Non-Neoplastic Finding Type	"BONE, DECREASED"	EFFACEMENT; OSTEOLYSIS; OSTEOPOROSIS
Non-Neoplastic Finding Type	"BONE, INCREASED"	"CARTILAGE, RETAINED, TRABECULAR BONE; INCREASED BONE; INCREASED BONE, CORTICAL; INCREASED BONE, TRABECULAE; INCREASED BONE, TRABECULAE/CORTEX; INCREASED CELLULARITY, PRIMARY SPONGIOSA; INCREASED TRABECULAR BONE; INCREASED WOVEN BONE; OSTEOPETROSIS; OSTEOPLASIA; OSTEOPLASIA, TIBIAL DIAPHYSIS; PERIOSTEAL BONE GROWTH"
Non-Neoplastic Finding Type	CALCULUS	"UROLITH, TUBULAR; UROLITHIASIS"
Non-Neoplastic Finding Type	CARDIOMYOPATHY	"CARDIOMYOPATHY, DEGENERATIVE"
Non-Neoplastic Finding Type	CAST	"BILE CASTS; CAST(S), BASOPHILIC, TUBULAR; CAST, GRANULAR; CAST, HYALINE; CAST, PROTEINACEOUS; CAST/CASTS; EOSINOPHILIC MATERIAL, TUBULES"
Non-Neoplastic Finding Type	CAVITATION	"CAVITATION/GLIAL SCAR, SUBMENINGEAL; CAVITY FORMATION, SUBCUTIS"
Non-Neoplastic Finding Type	CELL DEBRIS	"CELL DEBRIS, CRYPT GLAND; CELL DEBRIS, INTRALUMINAL; CELLULAR DEBRIS; CELLULAR DEBRIS, LUMEN; DEBRIS; DEBRIS, CELL; DEBRIS, CELLULAR, CRYPT; DEBRIS, CELLULAR, CRYPT, PYLORUS; DEBRIS, CELLULAR, LUMEN; DEBRIS, CELLULAR, LUMEN, CAPUT; DEBRIS, CELLULAR, LUMEN, INCREASED; DEBRIS, MINERALIZED; DEBRIS, NUCLEAR, EPITHELIUM; DEBRIS, SEMINIFEROUS TUBULES; GERM CELL DEBRIS, INCREASED, BILATERAL; PHAGOCYTIZED DEBRIS"
